permit_start_date,permit_end_date,permit_number,description,type,emails_email,emails,phones_phone,phones,websites_website,websites,locations_location_lat,locations_location_lng,locations_location,locations,name
"2015-01-01","2023-12-21","B406-(3)M","The Diamond Point Yacht Club is a quaint little marina situated in the heart of Brooklyn.  Offering seasonal docking, as well as year long storage, this Marina is the place for all your nautical needs.  Feel free to call for further information.","Marina","","","(718) 444-7700","","","","40.627155","73.90467","","","Douglaston Golf Course"
"2004-01-31","2024-01-31","Q411-R-GC","","Golf Course","Douglastongolf@gmail.com","","(718) 224-6566","","http://www.golfnyc.com/golf/proto/golfnyc/douglaston_home/douglaston_home.htm","","40.752181","-73.732670","","","Dredsurfer LLC"
"2014-01-01","2022-12-31","Q162-2-SB","The DreadSurfer snack bar began operations in 2014. The menu offers smoothies and standard fair such as hot dogs, hamburgers, and french fries. The DreadSurfer also offers specialty items such as crab legs, salmon burgers and Caribbean specialties like jerk chicken, curry goat, and oxtail. There is seating available right on the boardwalk where you can enjoy great views while enjoying a glass of wine or beer.","Snack Bar","","","","","","","40.594148","-73.750534","","","Dunkin' Donuts"
"2005-03-18","2020-03-17","X101-O-R","Dunkin' Donuts provides customers with high quality coffee, bagels, donuts and other baked goods.","Snack Bar","","","(718) 863-8692","","","","40.836278","-73.838969","","","Dyckman Marina"
"2013-05-01","2028-10-31","M28-M","","Marina","","","","","","","40.868988","-73.931884","","","Dyckman Marina Restaurant"
"2012-04-01","2027-03-31","M28-R","","Restaurant","","","","","","","40.869235","-73.932100","","","Dyker Beach Golf Course"
"2004-01-15","2024-01-14","B28-H-GC","","Golf Course","","","(718) 836-9722","","http://dykerbeach.americangolf.com/","","40.612711","-74.019630","","","Dyker Beach Park Tennis Pro"
"2014-04-05","2018-11-18","B28-TP","","Tennis Pro","","","","","","","40.606041","-74.016904","","","East River Park Tennis Pro"
"2014-05-07","2018-11-18","M144-TP","","Tennis Pro","","","","","","","40.715392","-73.975484","","","East Springfield Playground  Mobile Food Truck"
"2014-04-17","2018-12-31","Q404-MT","","Mobile Food Truck","","","","","","","40.698830","-73.739756","","","Ederle Terrace Snack Bar"
"2014-07-26","2025-07-25","Q99(2)-SB","","Snack Bar","","","","","","","40.739113","-73.841693","","","Ellington In The Park"
"2015-01-01","2023-12-31","M71(105)-R","The bi-level facilities are refreshingly minimalist: a wooden, well-stocked bar and a couple of portable grills. Although the view is of the roaring West Side Highway rather than lapping waves, and shouts can be heard from the nearby baseball games, the cafe manages to conjure a festive, splash-happy mood. Locals-mostly well-groomed young folk and families with small kids-crowd the semi-secluded oasis for hamburgers, sandwiches, salads and fruity concoctions either at the bar or at tables set up in front of it. On the weekends, the cafe serves brunch.","Snack Bar","info@ellingtoninthepark.com","","","","http://www.ellingtoninthepark.com/","","40.802577","-73.971888","","","Fair Promotions Inc."
"2007-01-01","2026-12-31","B280-AP","","Amusement Park","","","","","","","40.590606","-73.994911","","","Ferry Point Golf Course"
"2015-04-01","2035-03-31","X126-GC","","Golf Course","","","","","","","40.741503","-73.988168","","","First Park Outdoor Cafe"
"2011-11-07","2024-03-07","M124-SB","","Snack Bar","","","( 212) 529-8766","","http://www.onmud.com/pages/mudpark","","40.723301","-73.988781","","","Flushing Meadows Corona Park Food Cart"
"2013-06-03","2017-12-31","Q99-(1)-C","","Food Cart","","","","","","","40.749700","-73.837300","","","Flushing Meadows Corona Park Food Cart"
"2014-03-28","2018-12-31","Q99-VB5C","","Food Cart","","","","","","","40.748525","-73.836236","","","Flushing Meadows Corona Park Food Cart"
"2014-03-28","2018-12-31","Q99-VBDC","","Food Cart","","","","","","","40.747159","-73.837051","","","Flushing Meadows Corona Park Food Cart"
"2014-03-28","2018-12-31","Q99-VBEC","","Food Cart","","","","","","","40.747485","-73.836536","","","Flushing Meadows Corona Park Food Cart"
"2014-04-28","2018-12-31","Q99-VBFC","","Food Cart","","","","","","","40.74742","-73.836794","","","Flushing Meadows Corona Park Mobile Food Truck"
"2013-04-02","2017-12-31","Q99-HS-MT","","Mobile Food Truck","","","","","","","40.747012","-73.852491","","","Flushing Meadows Corona Park Mobile Food Truck"
"2013-03-01","2017-12-31","Q99-ZMT","","Mobile Food Truck","","","","","","","40.746737","-73.849111","","","Flushing Meadows Corona Park Mobile Food Truck"
"2014-06-26","2018-12-31","Q99-1-MT","","Mobile Food Truck","","","","","","","40.746424","-73.844401","","","Flushing Meadows Pitch & Putt"
"2010-05-30","2025-05-30","Q99-J-GC","","Golf Course","Flushingpitchandputt@gmail.com","","(718) 271-8182","","http://www.golfnyc.com/golf/proto/golfnyc/flushingmeadows_home/flushingmeadows_home.htm","","","","Forest Park/Flushing Meadows Corona Park Carousel"
"2013-03-23","2026-12-31","Q15-Q99-SB-C-CL","","Carousel","info@nycarousel.com","","","","http://www.nycarousel.com/","","40.700494","-73.856728","","","Fort Greene Park Tennis Pro"
"2014-04-05","2018-11-18","B32-TP","","Tennis Pro","","","","","","","40.690540","-73.975434","","","Fox Playground Mobile Food Truck"
"2014-06-06","2018-12-31","B248-MT","","Mobile Food Truck","","","","","","","40.632634","-73.924409","","","Frederick Cabbell Park Mobile Food Truck"
"2014-04-07","2018-12-31","Q339-MT","","Mobile Food Truck","","","","","","","40.689242","-73.742253","","","Frederick Johnson Park Tennis Pro"
"2014-04-05","2018-11-18","M159-TP","","Tennis Pro","","","","","","","40.824872","-73.935766","","","Friedsam Memorial Carousel"
"2011-04-15","2021-04-14","M10-37-C-CL","Long viewed as a symbol for the park, the Freidman Memorial Central Park Carousel is still in operation today. While not the original mule-drawn carousel from the 1800's, the current carousel was constructed in the early 1900's on Coney Island, and was relocated to Central Park in the 1950's. Since then the carousel has brought smiles to millions of riders and will hopefully continue to do so for another hundred years.

April 12, 2012: The carousel is currently closed for repairs and restoration, and is expected to reopen on May 1.","Carousel","","","212-879-0244","","","","40.769929","-73.975252","","","Golden Ring, Inc."
"2011-08-25","2019-08-24","B223-O-A-SB","Situated in the heart of Williamsburg, the concessionaire has been serving up Falafel for years.  In addition to falafel, it also offers other specialty Mediterranean dishes, including hummus (ground chickpeas), babaganoush (eggplant dip) and more.","Snack Bar","","","(718) 384-6577","","","","40.703715","-73.960332","","","Grand Central Parkway Gas Station"
"2008-07-01","2023-06-30","Q21-B-GS","","Gas Station","","","","","","","40.725054","-73.771670","","","Grand Central Parkway Gas Station"
"2008-07-01","2023-06-30","Q84-A-GS","","Gas Station","","","","","","","40.767703","-73.865188","","","Grand Central Parkway Gas Station"
"2008-07-01","2023-06-30","Q84-GS","","Gas Station","","","","","","","40.765008","-73.861688","","","GROM"
"2012-07-06","2017-07-05","M10-E72-CG","","Specialty Cart","","","","","","","40.741503","-73.988168","","","Grover Cleveland park Mobile Food Truck"
"2013-05-16","2017-12-31","Q2-MT","","Mobile Food Truck","","","","","","","40.710989","-73.910113","","","Haffen Park Mobile Food Truck"
"2013-06-07","2017-12-31","X196-MT","","Mobile Food Truck","","","","","","","40.874643","-73.839054","","","Hammonds Cove Marina"
"2003-04-02","2018-04-01","X310-M","","Marina","","","(718) 892-3012","","http://www.hammondscovemarina.com/","","40.816561","-73.806111","","","Harlem Meer Snack Bar"
"2012-04-01","2020-03-31","M10-64-SB","For over 20 years, Maoz have been continuously working to offer the best tasting nutritious meals and falafel to their customers. With more than 15 signature salads and sauces made with the finest ingredients from local farmers and purveyors, we are always on the lookout for the best quality ingredients available.","Snack Bar","","","","","http://www.maozusa.com/restaurants/locations/nyc","","40.794873","-73.951281","","","Harris Park Cart"
"2013-07-11","2017-12-31","X136-C","","Food Cart","","","","","","","40.876912","-73.890073","","","High Line Food and Other Facilities"
"2011-07-01","2021-06-30","M360-O","","Other","","","","","","","40.741503","-73.988168","","","Highbridge Park Mobile Food Truck"
"2013-03-08","2017-12-31","M37-4MT","","Mobile Food Truck","","","","","","","40.741503","-73.988168","","","Highline Park Food Service"
"2011-07-01","2021-06-30","M360-SB","","Other","","","","","","","40.443470","-74.003695","","","Hudson River Yacht Club"
"2015-01-01","2023-12-31","B406-1-M","The Hudson River Yacht Club is a quaint little boatyard situated in the heart of Brooklyn.  Offering seasonal docking, as well as year long storage, this Marina is the place for all your nautical needs.  Feel free to call for further information.","Marina","","","(718) 251-9791","","","","40.624401","-73.903768","","","Hugh Grant Circle Food Cart"
"2013-02-21","2017-12-31","X25-C","","Food Cart","","","","","","","40.741503","-73.988168","","","INDULGE BISTRO CAFE, INC."
"2015-11-22","2020-11-21","M10-W108-C","","Food Cart","","","","","","","40.798727","-73.958705","","","Jackie Robinson Park Mobile Food Truck"
"2013-04-19","2017-12-31","M14-MT","","Mobile Food Truck","","","","","","","40.823569","-73.942763","","","JANANI FOOD SERVICE, INC."
"2016-05-01","2019-12-31","M10-E66-CD-C","","Food Cart","","","","","","","40.769727","-73.973076","","","JANANI FOOD SERVICES, INC."
"2015-07-16","2019-12-31","M10-72-CW-C","","Food Cart","","","","","","","40.772742","-73.967621","","","JANANI FOOD SERVICES, INC."
"2014-04-18","2018-12-31","M10-W61-HP-C","","Food Cart","","","","","","","40.768794","-73.976381","","","JANANI FOOD SERVICES, INC."
"2013-02-13","2017-12-31","M10-W109-C","","Food Cart","","","","","","","40.799067","-73.955300","","","Juniper Valley Tennis Pro"
"2014-04-05","2018-11-18","Q102-TP","","Tennis Pro","","","","","","","40.720383","-73.876643","","","Kate Wollman Ice Skating Rink"
"2001-12-21","2021-04-30","B73-IS","","Ice Skating Rink","info@prospectpark.org","","(718) 287-6431","","http://www.prospectpark.org/about/lakeside","","40.657890","-73.965355","","","Kissena Corridor Park Mobile Food Truck"
"2013-03-15","2017-12-31","Q300-MT","","Mobile Food Truck","","","","","","","40.744736","-73.785787","","","Kissena Park Golf Course"
"2009-01-01","2028-12-31","Q24-GC","","Golf Course","Kissenagolf@gmail.com","","(718) 939-4594","","http://www.golfnyc.com/golf/proto/golfnyc/kissena_home/kissena_home.htm","","40.744670","-73.799233","","","Kissena Park Tennis Pro"
"2014-05-07","2018-11-18","Q24-TP","","Tennis Pro","","","","","","","40.748097","-73.809898","","","La Tourette Golf Course"
"2004-01-15","2024-01-14","R13-B-GC","","Golf Course","","","(718) 351-1889","","http://latourette.americangolf.com/","","40.577579","-74.149615","","","Lemon Creek Marina"
"2011-01-01","2030-12-31","R79-M","The Princess Bay BoatmenÂ&euro;&trade;s Association, Inc. is a membership owned corporation, which operates the Marina at Lemon Creek under a concession granted, by the New York City Department of Parks and Recreation. We are located on the south shore of Staten Island and provide marine services to members and non-members alike. Our services include the rental of slips during the summer and dry storage of boats during the summer and winter at reasonable rates. Our travel lift can accommodate vessels up to 25 tons and we can accept boats for summer storage up to forty feet in length.","Marina","admin@PrincessBay.org","","(718) 605-3543","","http://www.princessbay.org","","40.515273","-74.201149","","","Lemon Creek Stable"
"1990-11-01","","R79-A-ST","","Stables","","","","","","","40.515418","-74.198187","","","Leon S. Kaiser Playground Tennis Pro"
"2014-04-05","2018-11-18","B129-TP","","Tennis Pro","","","","","","","40.578430","-73.994353","","","Lief Ericson Park Tennis Pro"
"2014-04-05","2018-11-18","B52-TP","","Tennis Pro","","","","","","","40.715999","-73.936368","","","Lincoln Terrace Park Tennis Pro"
"2014-04-05","2018-11-18","B54-TP","","Tennis Pro","","","","","","","40.666900","-73.925206","","","Linden Park Mobile Food Truck"
"2013-04-04","2017-12-31","Q26-MT","","Mobile Food Truck","","","","","","","40.748748","-73.861172","","","Little Red Square Gourmet Carts"
"2012-04-24","2017-04-23","MZ06-CG","","Specialty Cart","","","","","","","","","Major Deegan Expressway Gas Station"
"2008-07-01","2023-06-30","X150-A-GS","","Gas Station","","","","","","","40.895115","-73.881496","","","Major Deegan Expressway Gas Station"
"2008-07-01","2023-06-30","X150-GS","","Gas Station","","","","","","","40.894928","-73.882579","","","Manhattan Beach Tennis Pro"
"2014-06-03","2018-11-18","B251-TP","","Tennis Pro","","","","","","","40.577574","-73.939661","","","Maria Hernandez Pushcart"
"2014-06-13","2018-12-31","B16-C","","Food Cart","","","","","","","40.7027","-73.923917","","","Marine Park Golf Course"
"2009-05-01","2029-04-30","B57-A-GC","","Golf Course","info@golfmarinepark.com","","(718) 252-4625","","http://golfmarinepark.com","","40.599340","-73.912961","","","McCarren Park Tennis Facility"
"2016-04-30","2031-04-29","B58-IT","","Tennis Facility","nycmccarrentennis@gmail.com","","347-873-9698","","http://www.mccarrentennis.net/","","40.721613","-73.954362","","","McKinley Plaza Fruit & Vegetable Cart"
"2013-05-01","2017-12-31","X31-GR","","Fruit & Vegetable Cart","","","","","","","40.741503","-73.988168","","","MCU Park"
"2001-06-15","2020-10-31","B369-BL","MCU Park (formerly Keyspan Stadium) is home to the Brooklyn Cyclones, the Met's-affiliated Minor League Baseball Team. Opened in 2001, the stadium represents a modern design combined with a deep heritage. Inside the park, fans experience the sport's rich past-time, as well as the Coney Island that existed nearly a century ago. There, they'll see views of the parachute drop and boardwalk, while hearing the energy of the rides and the crashing of the waves by the sea.  Experience the magic of Coney Island!","Baseball Stadium","info@brooklyncyclones.com","","(718) 449-8497","","http://www.brooklyncyclones.com/","","40.574376","-73.983988","","","Midget Squadron Yacht Club"
"2015-01-01","2023-12-31","B406-2-M","The Midget Squadron Yacht Club is a quaint little marina situated in the heart of Brooklyn.  Offering seasonal docking, as well as year long storage, this Marina is the place for all your nautical needs.  Feel free to call for further information.","Marina","","","(718) 251-9823","","","","40.626081","-73.902535","","","Mill Basin Marina"
"2005-06-01","2017-05-31","B166-D-M","The Mill Basin Marina is a quaint little boatyard situated in the heart of Brooklyn.  Offering seasonal docking, as well as year long storage, this Marina is the place for all your nautical needs.  Feel free to call for further information.","Marina","","","(718) 241-5011","","","","40.612457","-73.901722","","","Mill Pond Tennis Center"
"2010-12-01","2030-11-30","X344-SB-IS-IT","","Tennis Facility","info@gothamtennis.com","","(718) 665-4684","","http://www.gothamtennis.com/gothamstadium.html","","40.824167","-73.931563","","","Mineral Springs Cafe"
"2010-05-14","2022-05-13","M10-33-SB","Le Pain Quotidien bakery and communal table serves simple, elegant boulangerie fare - soup, salads, tartines (open-faced sandwiches), breakfast, homemade pastries, and its signature handmade organic bread.  A wide selection of breads is baked fresh daily in Le Pain Quotidien's central bakery in New York City and delivered every morning.
Special offerings at Le Pain Quotidien Mineral Springs include organic draft beer, organic ice cream, fresh homemade Belgian waffles, take-out baguette sandwiches, pre-packed picnic boxes, and free extended-range Wi-Fi.  The location also offers table service in the 30-seat dining room and 100-seat terrace overlooking Sheep Meadow, as well as to-go service from a take-out window.
Additionally, the cafe serves as a community gathering place and education center with its Communal Table at Mineral Springs program.  Each week it features a new educational program focusing on topics such as sustainability and the environment; eating organic and vegan; organic farming; bread and bread-making; and tastings of sustainably grown wine, olive oil, honey, and other foods.","Snack Bar","questions@lepainquotidien.com","","646.233.3768","","http://www.lepainquotidien.com/","","40.773039","-73.974293","","","MOHAMMAD MATIN"
"","","M10-E66-SM-C","","Food Cart","","","","","","","40.770451","-73.973574","","","Mosholu Golf Course"
"2004-07-01","2023-12-31","X92-3-GC","","Golf Course","","","(718) 655-9164","","http://www.thefirstteemetny.org/club/scripts/section/section.asp&Alpha;NS=MU","","40.887049","-73.884204","","","MUN TRADING COMPANY"
"2014-08-14","2018-12-31","M10-E62-C","","Food Cart","","","","","","","40.766638","-73.972201","","","MUN TRADING COMPANY"
"2014-04-18","2018-12-31","M10-W63-HP-C","","Food Cart","","","","","","","40.769171","-73.976784","","","NANDITA, INC."
"2015-11-25","2020-11-24","M10-63-ED-CG","","Specialty Cart","","","","","","","40.766877","-73.973173","","","NANDITA, INC."
"2014-08-13","2018-12-31","M10-72-1B-C","","Food Cart","","","","","","","40.772318","-73.971616","","","New Leaf Cafe"
"2007-10-01","2019-09-30","M29-R","New Leaf is open year-round serving locally-sourced, modern American fare and hosting weddings, parties, and other private events.  Just steps from The Cloisters museum and gardens, surrounded by majestic trees, the 1930’s cottage and outdoor patio offer a one-of-a-kind experience for locals and tourists alike.  Whether you are at New Leaf for a meal in the main dining room, an event on the garden patio, or cocktails in the tavern room, the tranquil setting is a delightful reprieve from urban living.","Restaurant","cathy@coffeednyc.com","","","","http://www.newleafrestaurant.com/","","40.860774","-73.932754","","","NY Dosas"
"2013-09-18","2018-09-17","M98-EC-CG","The NY Dosas specialty cart, owned and operated by Thiru Kandasamy, known locally as ""the Dosa Guy,"" serves up traditional Indian vegan fare near the corner of Sullivan Street and Washington Square South in Washington Square Park.  NY Dosas' menu includes such specialties as uthappam, samosas dosas, and vegan drumsticks.  Mr. Kandasamy's cart has been a critic's pick in the New York Magazine Restaurant Guide, and in 2007, he was the recipient of the coveted Vendy Award.","Specialty Cart","nydosas@yahoo.com","","(917) 710-2092","","","","40.730722","-73.998907","","","Orchard Beach Snack Bar"
