,park_name,census_tract,ct,household,median_income
467,Peachtree Garden,"1400000US36061002202,",['1400000US36061002202'],1030,68750.0
468,Bayswater Park,"1400000US36081100802,1400000US36081099200,","['1400000US36081100802', '1400000US36081099200']",3766,49407.5
469,Playground One,"1400000US36061002700,",['1400000US36061002700'],597,57171.0
470,Hull Triangle,"1400000US36081051700,",['1400000US36081051700'],706,59412.0
471,Heisser Triangle,"1400000US36047043100,",['1400000US36047043100'],1736,42269.0
472,Sledge Playground,"1400000US36047099000,",['1400000US36047099000'],461,75208.0
473,Oakland Gardens,"1400000US36081138501,",['1400000US36081138501'],1422,65625.0
474,P.S. 87,"1400000US36005042800,",['1400000US36005042800'],674,63017.0
475,Playground 115,"1400000US36081092900,",['1400000US36081092900'],2228,55000.0
476,Glendale Veterans Triangle,"1400000US36081062900,",['1400000US36081062900'],1050,60156.0
477,Maple Playground,"1400000US36081085300,",['1400000US36081085300'],1759,37275.0
478,South Rochdale Playground,"1400000US36081033402,",['1400000US36081033402'],5977,45991.0
479,P.S. 128,"1400000US36081065900,",['1400000US36081065900'],684,90227.0
480,P.S. 129,"1400000US36081094500,",['1400000US36081094500'],1339,72243.0
481,P.S. 123,"1400000US36081018402,",['1400000US36081018402'],638,54063.0
482,Continental Army Plaza,"1400000US36047052300,",['1400000US36047052300'],2369,43076.0
483,P.S. 121,"1400000US36047046400,1400000US36047046800,","['1400000US36047046400', '1400000US36047046800']",1181,38976.0
484,Four Sparrow Marsh,"1400000US36047070202,",['1400000US36047070202'],3,
485,Father Macris Park,"1400000US36085029104,",['1400000US36085029104'],2333,89511.0
486,Horsebrook Island,"1400000US36081045700,",['1400000US36081045700'],960,60583.0
487,Mapes Ballfield,"1400000US36005037100,",['1400000US36005037100'],1691,19293.0
488,Wallenberg Plgd,"1400000US36061031100,",['1400000US36061031100'],0,
489,Gethsemane Garden,"1400000US36047091600,",['1400000US36047091600'],1669,31105.0
490,Lewis Playground,"1400000US36047028300,",['1400000US36047028300'],1416,32917.0
491,Shiloh Garden,"1400000US36047026500,",['1400000US36047026500'],1412,51050.0
492,Vinmont Veteran Park,"1400000US36005033700,",['1400000US36005033700'],880,83917.0
493,Astoria Park,"1400000US36081009900,",['1400000US36081009900'],0,
494,West 111th St. People's Garden,"1400000US36061019900,",['1400000US36061019900'],3330,76902.0
495,Jefferson Market Garden,"1400000US36061007100,",['1400000US36061007100'],3486,125028.0
496,Manor Park,"1400000US36085018100,",['1400000US36085018100'],1048,90909.0
497,Astoria Health Playground,"1400000US36081007700,",['1400000US36081007700'],594,78409.0
498,Beach Channel Park,"1400000US36081093402,",['1400000US36081093402'],1618,70577.0
499,O'sullivan Plaza,"1400000US36081032900,",['1400000US36081032900'],1105,53495.0
500,Dyker Beach Golf Course,"1400000US36047015400,",['1400000US36047015400'],0,
501,Ralph Bunche Park,"1400000US36061008800,",['1400000US36061008800'],4555,100179.0
502,Morris Garden,"1400000US36005024100,",['1400000US36005024100'],1803,23856.0
503,Martinez Playground,"1400000US36047050500,",['1400000US36047050500'],1962,30216.0
504,Randall Playground,"1400000US36005008600,",['1400000US36005008600'],1424,23045.0
505,Rodney Playground South,"1400000US36047052700,",['1400000US36047052700'],2381,32022.0
506,Hero Park,"1400000US36085003300,",['1400000US36085003300'],1378,70875.0
507,St. John Cantius Parish,"1400000US36047115600,",['1400000US36047115600'],1574,15854.0
508,110th Street Block Association Garden,"1400000US36061017402,",['1400000US36061017402'],887,37426.0
509,Givans Creek Woods,"1400000US36005046201,",['1400000US36005046201'],12316,43205.0
510,Egbert Triangle,"1400000US36085024700,",['1400000US36085024700'],955,63162.0
511,Monsignor Crawford Field,"1400000US36047068600,",['1400000US36047068600'],696,51800.0
512,Daniel M. O'Connell Playground,"1400000US36081052200,",['1400000US36081052200'],518,81923.0
513,Hoparkinson R&L Block Association Garden,"1400000US36047089800,",['1400000US36047089800'],641,38988.0
514,Grand Playground,"1400000US36005025100,",['1400000US36005025100'],2137,28615.0
515,A Philip Randolph Square,"1400000US36061021800,",['1400000US36061021800'],2782,47155.0
516,Jerome Gardens,"1400000US36047116200,",['1400000US36047116200'],735,42829.0
517,Poor Richard's Playground,"1400000US36061017000,",['1400000US36061017000'],3263,30711.0
518,The Olde Towne of Flushing Burial Ground,"1400000US36081119500,",['1400000US36081119500'],424,81618.0
519,Sutter Ballfields,"1400000US36047116000,",['1400000US36047116000'],869,26745.0
520,Whitefish Triangle,"1400000US36081051700,",['1400000US36081051700'],706,59412.0
521,Orient Grove,"1400000US36047048100,",['1400000US36047048100'],1360,72717.0
522,Sheltering Arms Playground,"1400000US36061021900,",['1400000US36061021900'],2019,19025.0
523,Belmont Playground,"1400000US36005037300,1400000US36047120200,","['1400000US36005037300', '1400000US36047120200']",2317,38119.5
524,Green Central Knoll,"1400000US36047042500,",['1400000US36047042500'],1033,45642.0
525,Bridge Playground,"1400000US36005020100,",['1400000US36005020100'],1307,24160.0
526,West Farms Rapids,"1400000US36005022000,1400000US36005036100,","['1400000US36005022000', '1400000US36005036100']",2616,20983.0
527,Magnolia Tree Earth Center,"1400000US36047025100,",['1400000US36047025100'],1398,27125.0
528,Brizzi Playground,"1400000US36047011200,",['1400000US36047011200'],1984,30032.0
529,Callahan-Kelly Playground,"1400000US36047036700,",['1400000US36047036700'],515,51140.0
530,Veterans Plaza,"1400000US36081035300,",['1400000US36081035300'],761,45610.0
531,Frost Playground,"1400000US36047044900,",['1400000US36047044900'],1123,33831.0
532,Little Claremont Park,"1400000US36005016900,",['1400000US36005016900'],453,27697.0
533,Mt. Morris East,"1400000US36061019800,",['1400000US36061019800'],1175,70481.0
534,Mellett Playground,"1400000US36047058200,",['1400000US36047058200'],1004,43750.0
535,Blake Hobbs Playground,"1400000US36061016400,",['1400000US36061016400'],2602,33493.0
536,Hinton Park,"1400000US36081038100,",['1400000US36081038100'],1818,48311.0
537,Major General John R Brown Triangle,"1400000US36005026900,",['1400000US36005026900'],1371,33365.0
538,Cosmo Barone Triangle,"1400000US36047070000,",['1400000US36047070000'],678,66250.0
539,Zion Triangle,"1400000US36047090000,",['1400000US36047090000'],1983,27716.0
540,Sohncke Square,"1400000US36081024900,",['1400000US36081024900'],1890,53894.0
541,Angie Lee Gonzales Garden,"1400000US36005016100,",['1400000US36005016100'],1751,12467.0
542,Classon Playground,"1400000US36047019300,1400000US36047053700,","['1400000US36047019300', '1400000US36047053700']",2839,40357.5
543,Ruppert Park,"1400000US36061015400,",['1400000US36061015400'],7976,80803.0
544,Willis Playground,"1400000US36005003900,",['1400000US36005003900'],1902,25990.0
545,Augustus St. Gaudens Playground,"1400000US36061006400,",['1400000US36061006400'],4546,96090.0
546,Gemini Fields,"1400000US36081006202,",['1400000US36081006202'],2671,55253.0
547,Townsend Walk,"1400000US36005022701,",['1400000US36005022701'],1829,29426.0
548,Nakks Malls,"1400000US36081053800,1400000US36081058200,","['1400000US36081053800', '1400000US36081058200']",1781,79005.5
549,Osborn Playground,"1400000US36047092200,",['1400000US36047092200'],1273,39485.0
550,Bushwick Inlet Park,"1400000US36047055700,",['1400000US36047055700'],1184,92222.0
551,Lopez Playground,"1400000US36085004000,",['1400000US36085004000'],4233,42148.0
552,Pearl St Playground,"1400000US36061001501,",['1400000US36061001501'],3561,81867.0
553,Our Little Green Acre/garden Eight,"1400000US36061022200,",['1400000US36061022200'],1277,32361.0
554,Eagle Slope,"1400000US36005007300,",['1400000US36005007300'],1291,18358.0
555,Greene Av United Neighbors Association Inc,"1400000US36047024300,",['1400000US36047024300'],1745,54505.0
556,P.S. 138,"1400000US36005007400,",['1400000US36005007400'],1361,44455.0
557,Seaside Wildlife Nature Park,"1400000US36085015603,",['1400000US36085015603'],1715,90604.0
558,Glen Oaks Oval,"1400000US36081155102,",['1400000US36081155102'],3364,84508.0
559,Laguardia Landing Lights,"1400000US36081030904,",['1400000US36081030904'],1119,53094.0
560,Inwood Hill Park,"1400000US36061029700,1400000US36061029500,1400000US36061028700,","['1400000US36061029700', '1400000US36061029500', '1400000US36061028700']",4927,56025.5
561,Mccarthy Square,"1400000US36061007300,",['1400000US36061007300'],3759,97149.0
562,Lawrence Triangle,"1400000US36081086100,",['1400000US36081086100'],828,40610.0
563,Grove Hill Playground,"1400000US36005007500,",['1400000US36005007500'],2035,25452.0
564,Inwood Hill Park Zone 6 (the Clove),"1400000US36061029700,",['1400000US36061029700'],0,
565,Captain Tilly Park,"1400000US36081044800,1400000US36081045200,1400000US36081045400,","['1400000US36081044800', '1400000US36081045200', '1400000US36081045400']",2356,48318.3333333
566,Sperandeo Brothers Playground,"1400000US36047117000,",['1400000US36047117000'],504,35889.0
567,Golconda Playground,"1400000US36047002300,",['1400000US36047002300'],1559,19066.0
568,Jesse Owens Playground,"1400000US36047029100,",['1400000US36047029100'],1053,35521.0
569,Playground One Thirty Four CXXXIV,"1400000US36005001900,",['1400000US36005001900'],901,37936.0
570,Eleanor Roosevelt Playground,"1400000US36047028900,",['1400000US36047028900'],1341,39570.0
571,Detective Joseph Mayrose Park,"1400000US36047014900,",['1400000US36047014900'],2273,103378.0
572,Concerned Residents of Montauk Avenue,"1400000US36047119400,",['1400000US36047119400'],1102,32136.0
573,Preston Comm Garden,"1400000US36047036300,",['1400000US36047036300'],1572,29741.0
574,Lion's Pride Playground,"1400000US36047113200,",['1400000US36047113200'],650,49250.0
575,I.S. 218,"1400000US36061028500,",['1400000US36061028500'],2708,36500.0
576,Tom McDonald Triangle,"1400000US36047014200,",['1400000US36047014200'],1306,56324.0
577,Richard Tucker Square,"1400000US36061014900,",['1400000US36061014900'],3039,154972.0
578,Amundsen Circle,"1400000US36085013204,",['1400000US36085013204'],1804,86429.0
579,Hallets Point Playground (area B),"1400000US36081008700,",['1400000US36081008700'],1529,21767.0
580,Von Briesen Park,"1400000US36085000800,1400000US36085000600,1400000US36085002001,1400000US36085001800,","['1400000US36085000800', '1400000US36085000600', '1400000US36085002001', '1400000US36085001800']",4459,64555.75
581,Harris Park,"1400000US36005040900,",['1400000US36005040900'],1320,46278.0
582,Nehemiah Ten Garden,"1400000US36047116200,",['1400000US36047116200'],735,42829.0
583,New 123rd St Block Association Garden,"1400000US36061022200,",['1400000US36061022200'],1277,32361.0
584,Corporal John A. Seravalli Playground,"1400000US36061007700,",['1400000US36061007700'],3517,127729.0
585,Ahearn Park,"1400000US36061001401,",['1400000US36061001401'],1634,76250.0
586,Gravesend Park,"1400000US36047046800,",['1400000US36047046800'],525,34063.0
587,Crotona Zone 9,"1400000US36005016300,",['1400000US36005016300'],0,
588,Tribeca Dog Run,"1400000US36061002100,",['1400000US36061002100'],2876,
589,Walker Park,"1400000US36085009700,",['1400000US36085009700'],1496,70556.0
590,Theodore Roosevelt Park,"1400000US36061016500,",['1400000US36061016500'],3298,126346.0
591,Crotona Zone 5,"1400000US36005016300,",['1400000US36005016300'],0,
592,Horace Harding Playground,"1400000US36081071702,",['1400000US36081071702'],1914,40000.0
593,Saw Mill Creek Marsh,"1400000US36085029102,",['1400000US36085029102'],980,84559.0
594,Green Oasis and Gilbert's Garden,"1400000US36061002602,",['1400000US36061002602'],2136,70037.0
595,Rockaway Freeway,"1400000US36081094202,1400000US36081099200,1400000US36081100802,1400000US36081095400,1400000US36081096400,1400000US36081093800,1400000US36081097204,1400000US36081097202,","['1400000US36081094202', '1400000US36081099200', '1400000US36081100802', '1400000US36081095400', '1400000US36081096400', '1400000US36081093800', '1400000US36081097204', '1400000US36081097202']",12311,50105.75
596,Playground 103 CIII,"1400000US36061016200,",['1400000US36061016200'],3890,21577.0
597,,"1400000US36005015800,1400000US36081029300,1400000US36085007500,1400000US36081022001,1400000US36005042901,1400000US36047115000,","['1400000US36005015800', '1400000US36081029300', '1400000US36085007500', '1400000US36081022001', '1400000US36005042901', '1400000US36047115000']",6797,52537.0
598,Nostrand Playground,"1400000US36047078800,",['1400000US36047078800'],1174,40188.0
599,Corona Taxpayers Association,"1400000US36081044301,",['1400000US36081044301'],1341,20273.0
600,Grover Cleveland Playground,"1400000US36081053900,",['1400000US36081053900'],1400,60833.0
601,Liz Christy Garden,"1400000US36061003602,",['1400000US36061003602'],1414,81250.0
602,Seward Park,"1400000US36061001401,",['1400000US36061001401'],1634,76250.0
603,Rodney Park North,"1400000US36047052700,",['1400000US36047052700'],2381,32022.0
604,Alexander Grey Triangle,"1400000US36081098100,",['1400000US36081098100'],795,78512.0
605,Marcy Green South,"1400000US36047052700,",['1400000US36047052700'],2381,32022.0
606,Albemarle Playground,"1400000US36047049800,",['1400000US36047049800'],1674,67907.0
607,Kingdom Pond Park,"1400000US36085017600,",['1400000US36085017600'],1622,102561.0
608,St. Michael's Playground,"1400000US36081029700,",['1400000US36081029700'],726,55536.0
609,Patrick O'Rourke Park,"1400000US36047016600,",['1400000US36047016600'],668,80395.0
610,Mill Pond Park,"1400000US36005006300,",['1400000US36005006300'],1834,32064.0
611,Los Amigos Garden,"1400000US36061002601,",['1400000US36061002601'],1539,43854.0
612,Project Roots,"1400000US36047050700,",['1400000US36047050700'],496,30625.0
613,Greene Playground,"1400000US36047019900,",['1400000US36047019900'],1393,67656.0
614,Sarsfield Playground,"1400000US36047074600,",['1400000US36047074600'],661,82188.0
615,Bayside Playground,"1400000US36081093800,",['1400000US36081093800'],2174,61742.0
616,Eastern Parkway,"1400000US36047033700,1400000US36047035700,1400000US36047021500,1400000US36047035100,1400000US36047034900,1400000US36047035900,1400000US36047031702,1400000US36047021300,1400000US36047035300,1400000US36047021900,1400000US36047017700,1400000US36047032300,1400000US36047020700,1400000US36047031900,1400000US36047021700,1400000US36047032500,1400000US36047032100,","['1400000US36047033700', '1400000US36047035700', '1400000US36047021500', '1400000US36047035100', '1400000US36047034900', '1400000US36047035900', '1400000US36047031702', '1400000US36047021300', '1400000US36047035300', '1400000US36047021900', '1400000US36047017700', '1400000US36047032300', '1400000US36047020700', '1400000US36047031900', '1400000US36047021700', '1400000US36047032500', '1400000US36047032100']",28294,45916.875
617,Neufeld Plgd,"1400000US36061016300,",['1400000US36061016300'],3826,109971.0
618,Virginia Playground,"1400000US36005021602,",['1400000US36005021602'],2517,41487.0
619,Coenties Slip,"1400000US36061000900,",['1400000US36061000900'],758,147500.0
620,Washington Hall Park,"1400000US36047019100,",['1400000US36047019100'],1065,78750.0
621,Cross Island Parkway,"1400000US36081058000,1400000US36081138502,1400000US36081056800,1400000US36081103900,1400000US36081099100,1400000US36081102900,1400000US36081156700,1400000US36081099705,1400000US36081157101,1400000US36081162100,1400000US36081161700,1400000US36081062200,1400000US36081157102,1400000US36081097300,1400000US36081099701,1400000US36081098700,1400000US36081099703,1400000US36081109300,1400000US36081059200,1400000US36081111300,1400000US36081101700,1400000US36081099900,1400000US36081098100,1400000US36081155102,1400000US36081147100,","['1400000US36081058000', '1400000US36081138502', '1400000US36081056800', '1400000US36081103900', '1400000US36081099100', '1400000US36081102900', '1400000US36081156700', '1400000US36081099705', '1400000US36081157101', '1400000US36081162100', '1400000US36081161700', '1400000US36081062200', '1400000US36081157102', '1400000US36081097300', '1400000US36081099701', '1400000US36081098700', '1400000US36081099703', '1400000US36081109300', '1400000US36081059200', '1400000US36081111300', '1400000US36081101700', '1400000US36081099900', '1400000US36081098100', '1400000US36081155102', '1400000US36081147100']",31913,76664.3043478
622,Hoffman Park,"1400000US36081047500,",['1400000US36081047500'],1496,54130.0
623,Playground Seventy Five,"1400000US36081125700,",['1400000US36081125700'],926,53667.0
624,Hickman Playground,"1400000US36047069602,",['1400000US36047069602'],2185,89375.0
625,P.S. 139,"1400000US36047152200,",['1400000US36047152200'],1078,81618.0
626,Herman Dolgon Playground,"1400000US36047057200,",['1400000US36047057200'],2174,18459.0
627,White Playground,"1400000US36061017200,1400000US36085000800,","['1400000US36061017200', '1400000US36085000800']",4199,55770.5
628,West Playground,"1400000US36047037402,",['1400000US36047037402'],2014,30449.0
629,P.S. 131,"1400000US36047022400,",['1400000US36047022400'],1291,37271.0
630,Ehrenreich-Austin Playground,"1400000US36081076901,",['1400000US36081076901'],2020,76538.0
631,P.S. 132,"1400000US36061027100,",['1400000US36061027100'],3040,49750.0
632,Community Group of 349 Elton Street,"1400000US36047116600,",['1400000US36047116600'],881,33892.0
633,Hope Ballfields,"1400000US36047043300,",['1400000US36047043300'],1405,37882.0
634,Beach channel Playground,"1400000US36081094202,",['1400000US36081094202'],1644,44474.0
635,Bell Malls,"1400000US36081139900,1400000US36081143500,1400000US36081144100,","['1400000US36081139900', '1400000US36081143500', '1400000US36081144100']",2444,86275.3333333
636,Red Hook Recreation Area,"1400000US36047005300,1400000US36047008500,","['1400000US36047005300', '1400000US36047008500']",3949,43420.5
637,John Adams Playground,"1400000US36081086400,",['1400000US36081086400'],800,55385.0
638,Allen Mall One,"1400000US36061001800,1400000US36061001600,1400000US36061003001,1400000US36061000800,","['1400000US36061001800', '1400000US36061001600', '1400000US36061003001', '1400000US36061000800']",12049,45051.0
639,Wald Playground,"1400000US36061002000,",['1400000US36061002000'],1897,16778.0
640,Tudor Grove Playground,"1400000US36061008800,",['1400000US36061008800'],4555,100179.0
641,A Better Community Garden,"1400000US36047029900,",['1400000US36047029900'],810,22734.0
642,Brookville Park,"1400000US36081065400,1400000US36081069400,1400000US36081066400,1400000US36081069000,1400000US36081068000,","['1400000US36081065400', '1400000US36081069400', '1400000US36081066400', '1400000US36081069000', '1400000US36081068000']",7350,85412.4
643,Joe Holzka Community Garden,"1400000US36085013302,",['1400000US36085013302'],940,44861.0
644,Mitchel Square,"1400000US36061025100,",['1400000US36061025100'],724,28688.0
645,American Playground,"1400000US36047056500,",['1400000US36047056500'],1573,78445.0
646,Fleetwood Triangle,"1400000US36081069500,",['1400000US36081069500'],845,54309.0
647,Asphalt Green,"1400000US36061015200,",['1400000US36061015200'],3724,82308.0
648,Mary O'Connor Playground,"1400000US36061008800,",['1400000US36061008800'],4555,100179.0
649,Eibs Pond Park,"1400000US36085004000,",['1400000US36085004000'],4233,42148.0
650,Haggerty Park,"1400000US36081050000,",['1400000US36081050000'],1442,40044.0
651,Benninger Playground,"1400000US36081058700,",['1400000US36081058700'],1363,47331.0
652,W 170 st & Edward L Grant Hwy,"1400000US36005021302,",['1400000US36005021302'],1961,30362.0
653,Bennett Rest,"1400000US36061027500,",['1400000US36061027500'],1602,91552.0
654,W 104th Street Garden,"1400000US36061018900,",['1400000US36061018900'],5037,28158.0
655,Hallets Cove Playground (area A),"1400000US36081008700,",['1400000US36081008700'],1529,21767.0
656,Bloomingdale Park - Zone 3,"1400000US36085020803,",['1400000US36085020803'],2180,91782.0
657,Colucci Playground,"1400000US36005030000,",['1400000US36005030000'],2600,51806.0
658,Faber,"1400000US36085020700,",['1400000US36085020700'],1857,36287.0
659,COPERNICUS TRIANGLE,"1400000US36081053100,",['1400000US36081053100'],1176,41605.0
660,Wellbrook Triangle,"1400000US36081009400,",['1400000US36081009400'],862,51458.0
661,Arrochar Playground,"1400000US36085002002,",['1400000US36085002002'],1300,87188.0
662,Sherman Square,"1400000US36061015700,",['1400000US36061015700'],5485,122734.0
663,Chatterton Triangle,"1400000US36005009600,",['1400000US36005009600'],723,41250.0
664,Upon This Rock Comm Garden,"1400000US36047119400,",['1400000US36047119400'],1102,32136.0
665,Garden Of Life,"1400000US36005022902,",['1400000US36005022902'],1092,24142.0
666,Urban Botanical Soc./Sam and Sadie Koenig Garden,"1400000US36061002602,",['1400000US36061002602'],2136,70037.0
667,St. Nicholas Playground South,"1400000US36061022400,",['1400000US36061022400'],2742,25000.0
668,Police Officer Nicholas Demutiis Park,"1400000US36081011200,",['1400000US36081011200'],623,46484.0
669,Challenge Playground,"1400000US36081152902,",['1400000US36081152902'],2185,86552.0
670,B.C.C.A. Mini-park and Garden,"1400000US36081027200,",['1400000US36081027200'],600,59677.0
671,Slattery Playground,"1400000US36005038301,",['1400000US36005038301'],1509,26295.0
672,Hancock Park,"1400000US36061025700,",['1400000US36061025700'],1720,76686.0
673,P.S. 369 Annex,"1400000US36047079400,",['1400000US36047079400'],628,45227.0
674,Bildersee Playground,"1400000US36047095600,",['1400000US36047095600'],1324,65459.0
675,Fresh Meadows Park,"1400000US36081134700,",['1400000US36081134700'],3836,58604.0
676,Holy Cow Playground,"1400000US36081134700,",['1400000US36081134700'],3836,58604.0
677,Harry Chapin Playground,"1400000US36047000100,",['1400000US36047000100'],2162,70938.0
678,Claremont Zone 3,"1400000US36005017100,",['1400000US36005017100'],0,
679,Claremont Zone 2,"1400000US36005017100,",['1400000US36005017100'],0,
680,P.S. 99,"1400000US36047045400,",['1400000US36047045400'],608,47188.0
681,P.S. 98,"1400000US36081148300,",['1400000US36081148300'],970,109583.0
682,P.S. 93,"1400000US36005002800,1400000US36047024700,","['1400000US36005002800', '1400000US36047024700']",3280,45918.5
683,P.S. 97,"1400000US36047040400,1400000US36005031400,","['1400000US36047040400', '1400000US36005031400']",1497,61670.0
684,Heckscher Playground,"1400000US36047041700,1400000US36047041900,","['1400000US36047041700', '1400000US36047041900']",2587,28949.5
685,Triangle/Plaza,"1400000US36061001300,",['1400000US36061001300'],2421,123558.0
686,Martin Luther King Playground,"1400000US36061018600,",['1400000US36061018600'],2004,24769.0
687,Private William Gray Park,"1400000US36081036100,",['1400000US36081036100'],761,41990.0
688,Catharine Turner Richardson Park,"1400000US36081147900,",['1400000US36081147900'],1725,82927.0
689,Brooklyn Bridge Park,"1400000US36047002100,1400000US36061000900,1400000US36047000700,1400000US36047004700,1400000US36047000301,1400000US36061001501,1400000US36061001502,1400000US36047000100,1400000US36061000700,1400000US36061000500,","['1400000US36047002100', '1400000US36061000900', '1400000US36047000700', '1400000US36047004700', '1400000US36047000301', '1400000US36061001501', '1400000US36061001502', '1400000US36047000100', '1400000US36061000700', '1400000US36061000500']",20483,121450.111111
690,Coney Island Creek Park,"1400000US36047033000,1400000US36047033600,","['1400000US36047033000', '1400000US36047033600']",3089,42828.0
691,Corporal Ruoff Square,"1400000US36081005400,",['1400000US36081005400'],1645,58125.0
692,Floyd Patterson Ballfields,"1400000US36047091800,",['1400000US36047091800'],1052,27500.0
693,Lang Triangle,"1400000US36081052500,",['1400000US36081052500'],684,57813.0
694,Old Place Creek Park,"1400000US36085029102,",['1400000US36085029102'],980,84559.0
695,Sergeant Collins Triangle,"1400000US36081025900,",['1400000US36081025900'],1055,47529.0
696,Middleburgh Triangle,"1400000US36081047100,",['1400000US36081047100'],1392,46855.0
697,Dome Playground,"1400000US36047022800,",['1400000US36047022800'],804,30913.0
698,Conference House Park,"1400000US36085024402,1400000US36085024401,","['1400000US36085024402', '1400000US36085024401']",3623,75977.0
699,Bronx Park,"1400000US36005033400,1400000US36005022000,","['1400000US36005033400', '1400000US36005022000']",1069,34453.0
700,Joseph Daniel Wilson Garden,"1400000US36061022200,",['1400000US36061022200'],1277,32361.0
701,Raoul Wallenberg Forest,"1400000US36005030900,",['1400000US36005030900'],1317,87238.0
702,Telephone Playground,"1400000US36081129103,",['1400000US36081129103'],1910,72143.0
703,United Community Center Garden,"1400000US36047112400,",['1400000US36047112400'],1139,40707.0
704,Jardin De Las Rosas,"1400000US36005023900,",['1400000US36005023900'],2531,20985.0
705,Courtlandt Avenue Association Garden,"1400000US36005006900,",['1400000US36005006900'],2668,19741.0
706,Joyce Kilmer Park,"1400000US36005019500,",['1400000US36005019500'],2739,26706.0
707,Homecrest Playground,"1400000US36047060600,",['1400000US36047060600'],1107,29759.0
708,Lyons Square Playground,"1400000US36005011900,",['1400000US36005011900'],1943,22097.0
709,Fordham Bedford Lot Busters,"1400000US36005039901,",['1400000US36005039901'],1646,22747.0
710,Garden Of Eden,"1400000US36005022902,",['1400000US36005022902'],1092,24142.0
711,Col. Young Playground,"1400000US36061021400,",['1400000US36061021400'],1892,44405.0
712,Life Spire Garden,"1400000US36061019600,",['1400000US36061019600'],1576,19045.0
713,Euclid Garden,"1400000US36047119600,",['1400000US36047119600'],1738,32115.0
714,Middle Village Playground,"1400000US36081062100,",['1400000US36081062100'],944,56154.0
715,Galapo Playground,"1400000US36047057600,",['1400000US36047057600'],1025,68950.0
716,Remsen Family Cemetery,"1400000US36081070300,",['1400000US36081070300'],734,56818.0
717,DeLury Square,"1400000US36061001501,",['1400000US36061001501'],3561,81867.0
718,Mae Grant Playground,"1400000US36061016800,",['1400000US36061016800'],1686,26136.0
719,I.S. 227,"1400000US36047025000,",['1400000US36047025000'],502,46190.0
720,East Springfield Playground,"1400000US36081059800,",['1400000US36081059800'],555,83021.0
721,I.S. 220,"1400000US36047010800,",['1400000US36047010800'],1313,32122.0
722,Benson Playground,"1400000US36047028200,",['1400000US36047028200'],1230,41974.0
723,United Community Centers,"1400000US36047113000,",['1400000US36047113000'],1394,29038.0
724,Marion Hopkinson Playground,"1400000US36047037100,",['1400000US36047037100'],1629,46641.0
725,Rita Ley Triangle,"1400000US36005044901,",['1400000US36005044901'],717,67083.0
726,First Temple Of David,"1400000US36047112600,",['1400000US36047112600'],1280,40323.0
727,P.S. 186 Day Treatment Program,"1400000US36005015100,",['1400000US36005015100'],1759,30339.0
728,Police Officer Edward Byrne Park,"1400000US36081081800,",['1400000US36081081800'],1052,54265.0
729,Anibal Aviles Playground,"1400000US36061019300,",['1400000US36061019300'],3867,32236.0
730,Lincoln Center Plaza,"1400000US36061014900,",['1400000US36061014900'],3039,154972.0
731,Annadale Green,"1400000US36085017005,",['1400000US36085017005'],1623,100162.0
732,Mw United Orient Grand Lodge,"1400000US36047115000,",['1400000US36047115000'],908,40104.0
733,Bayview Playground,"1400000US36047103400,",['1400000US36047103400'],1678,18158.0
734,Pelham Parkway,"1400000US36005029600,1400000US36005024800,1400000US36005022401,1400000US36005022403,1400000US36005033400,1400000US36005028400,","['1400000US36005029600', '1400000US36005024800', '1400000US36005022401', '1400000US36005022403', '1400000US36005033400', '1400000US36005028400']",4899,45795.0
735,P.S. 384,"1400000US36047040900,",['1400000US36047040900'],1254,37635.0
736,Millbrook Playground,"1400000US36005002701,",['1400000US36005002701'],1102,20153.0
737,Parkside Playground,"1400000US36005033600,1400000US36047080200,","['1400000US36005033600', '1400000US36047080200']",4496,33839.0
738,Udalls Cove Park,"1400000US36081147900,1400000US36081148300,","['1400000US36081147900', '1400000US36081148300']",2695,96255.0
739,Hamilton Fish,"1400000US36061002201,",['1400000US36061002201'],3009,34988.0
740,Corona Plaza,"1400000US36081040500,",['1400000US36081040500'],809,42557.0
741,Murphy's Brother's Playground,"1400000US36061004400,",['1400000US36061004400'],7945,93010.0
742,Pelham Bay Little League,"1400000US36005028400,",['1400000US36005028400'],41,
743,Handball Haven,"1400000US36081071900,",['1400000US36081071900'],999,51658.0
744,Spencer St Block Association,"1400000US36047024100,",['1400000US36047024100'],939,60815.0
745,Thursby Basin Park,"1400000US36081096400,",['1400000US36081096400'],1286,58320.0
746,Madison Square Garden Association,"1400000US36047043500,",['1400000US36047043500'],1437,41058.0
747,Playground Seventy,"1400000US36061015500,",['1400000US36061015500'],5457,106157.0
748,The Backyard,"1400000US36047005100,",['1400000US36047005100'],989,85563.0
749,Judge Moses Weinstein Playground,"1400000US36081077903,",['1400000US36081077903'],1096,69216.0
750,Old Croton Aqueduct Gatehouse,"1400000US36061020701,",['1400000US36061020701'],1312,60798.0
751,Howard Playground,"1400000US36047090600,",['1400000US36047090600'],1591,15674.0
752,Mall Thirty Four XXXIV,"1400000US36081037700,1400000US36081037900,1400000US36081027700,1400000US36081038100,1400000US36081028100,1400000US36081028500,1400000US36081037500,1400000US36081028300,1400000US36081027900,1400000US36081027500,","['1400000US36081037700', '1400000US36081037900', '1400000US36081027700', '1400000US36081038100', '1400000US36081028100', '1400000US36081028500', '1400000US36081037500', '1400000US36081028300', '1400000US36081027900', '1400000US36081027500']",20185,49223.5
